nombre,telefono,web,estado_web,prioridad
Fontaneros de Córdoba,· 957 06 02 93,https://fontanerosdecordoba.es/,desconocido,baja
URBICOR,· 857 69 21 01,http://www.urbicor.net/,desconocido,baja
Imfrycor,· 696 53 15 83,,no_web,alta
Fontanería El Arcángel,· 957 75 04 40,https://www.fontaneriaelarcangel.com/,desconocido,baja
Fontaneria Manuel Cabello,· 678 59 51 50,,no_web,alta
Desatascos Córdoba | El Califa,· 606 53 56 68,http://desatascosencordoba.net/,desconocido,baja
Moyano Instalaciones y Reparaciones,· 680 36 07 71,https://www.facebook.com/MoyanoInstalacionesYReparaciones,desconocido,baja
Fontanero Cordoba,630 58 28 39,http://www.fontanerocordoba.es/,desconocido,baja
Marcos Gamero,· 957 29 00 17,http://www.marcosgamero.com/,desconocido,baja
Fontanería Cabello Casado Viñuela,,,no_web,alta
Canalejo Sanchez S.L.,· 957 27 01 82,https://www.canalejosanchezfontaneria.com/,desconocido,baja
Desatascos Integrales Al Andalus,· 670 87 57 32,https://www.desatascosalandalus.com/,desconocido,baja
Fontanero Córdoba | Procoim,607 78 58 80,http://procoim.es/,desconocido,baja
Manitas cordoba,· 634 85 36 18,https://manitascordoba.com/,desconocido,baja
Depuratec,· 633 01 02 49,https://depuratec.com/,desconocido,baja
Fontanería Gonzalo Haro,664 29 82 42,,no_web,alta
Saneamientos Amador Moreno,· 957 47 81 65,http://www.saneamientosamadormoreno.com/,desconocido,baja
Multiservicios El Santo,· 618 11 89 00,https://www.multiservicioselsanto.com/,desconocido,baja
BESER ASISTENCIA S.L. - Multiservicios en Cordoba - Fontaneros en Cordoba - Reformas en Cordoba,· 957 32 67 84,http://www.beserasistencia.net/,desconocido,baja
Fontaneria Resinar Sl,957 32 28 03,,no_web,alta
